listing_id,neighbourhood,risk_probability,high_risk_flag,risk_band
33945,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,0.151,0,Low
49489,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.9755,1,High
60394,ΣΤΑΔΙΟ,0.614,0,Moderate
154243,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.7564,1,High
155654,ΑΚΡΟΠΟΛΗ,0.931,1,High
306234,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0531,0,Low
308157,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.873,1,High
361393,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.9895,1,High
401423,ΑΚΡΟΠΟΛΗ,0.0625,0,Low
469140,ΘΗΣΕΙΟ,0.9744,1,High
474719,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.9886,1,High
484925,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1125,0,Low
485570,ΑΚΡΟΠΟΛΗ,0.6736,0,Moderate
496561,ΑΚΡΟΠΟΛΗ,0.8992,1,High
536123,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,0.8158,1,High
536197,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.6948,0,Moderate
565235,ΠΕΤΡΑΛΩΝΑ,0.9154,1,High
571876,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.9819,1,High
590287,ΠΡΟΜΠΟΝΑ,0.3422,0,Low
593916,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.3251,0,Low
631150,ΑΚΡΟΠΟΛΗ,0.987,1,High
644785,ΓΚΑΖΙ,0.1845,0,Low
691025,ΣΤΑΔΙΟ,0.8312,1,High
695173,ΝΕΟΣ ΚΟΣΜΟΣ,0.9882,1,High
702480,ΚΟΛΩΝΟΣ,0.3183,0,Low
709960,ΘΗΣΕΙΟ,0.188,0,Low
711554,ΑΚΡΟΠΟΛΗ,0.1658,0,Low
718941,ΠΑΓΚΡΑΤΙ,0.5434,0,Moderate
724485,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.2593,0,Low
727374,ΝΙΡΒΑΝΑ,0.3018,0,Low
752058,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,0.9665,1,High
767272,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0.4721,0,Moderate
784414,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,0.9875,1,High
800755,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0862,0,Low
807239,ΑΝΩ ΠΑΤΗΣΙΑ,0.6667,0,Moderate
809874,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,0.229,0,Low
866381,ΝΕΟΣ ΚΟΣΜΟΣ,0.2076,0,Low
896212,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.0798,0,Low
905315,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.0532,0,Low
912425,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,0.9783,1,High
947552,ΚΟΛΩΝΑΚΙ,0.7382,1,High
974442,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.9919,1,High
1004858,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,0.5668,0,Moderate
1021237,ΚΟΛΩΝΑΚΙ,0.2629,0,Low
1116076,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1733,0,Low
1177492,ΖΑΠΠΕΙΟ,0.1826,0,Low
1208210,ΑΚΡΟΠΟΛΗ,0.0724,0,Low
1214643,ΑΜΠΕΛΟΚΗΠΟΙ,0.1028,0,Low
1215055,ΑΚΡΟΠΟΛΗ,0.2919,0,Low
1216176,ΑΚΡΟΠΟΛΗ,0.3485,0,Low
1238291,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.8228,1,High
1245373,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.9356,1,High
1259830,ΚΕΡΑΜΕΙΚΟΣ,0.1955,0,Low
1271620,ΠΕΤΡΑΛΩΝΑ,0.8564,1,High
1286210,ΑΜΠΕΛΟΚΗΠΟΙ,0.4003,0,Moderate
1315027,ΙΛΙΣΙΑ,0.9876,1,High
1372935,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.889,1,High
1374299,ΝΙΡΒΑΝΑ,0.1269,0,Low
1470809,ΑΚΡΟΠΟΛΗ,0.5988,0,Moderate
1473284,ΑΚΡΟΠΟΛΗ,0.6219,0,Moderate
1484797,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,0.9561,1,High
1499953,ΛΥΚΑΒΗΤΤΟΣ,0.321,0,Low
1529526,ΚΟΛΩΝΟΣ,0.2454,0,Low
1568065,ΚΟΛΩΝΑΚΙ,0.523,0,Moderate
1615453,ΒΟΤΑΝΙΚΟΣ,0.9578,1,High
1654320,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.9882,1,High
1672696,ΒΟΤΑΝΙΚΟΣ,0.4075,0,Moderate
1708578,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.9644,1,High
1728675,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0.3701,0,Low
1734269,ΝΕΟΣ ΚΟΣΜΟΣ,0.4521,0,Moderate
1743425,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.3342,0,Low
1826249,ΓΚΥΖΗ,0.1885,0,Low
1845240,ΠΑΓΚΡΑΤΙ,0.9694,1,High
1900810,ΚΟΛΩΝΑΚΙ,0.7294,1,High
