listing_id,city,source,listing_name,neighbourhood,district,latitude,longitude,dist_km,dist_zone,dist_zone_encoded,host_id,host_since,host_tenure_days,host_is_superhost,is_superhost_int,host_response_time,host_response_rate,host_acceptance_rate,host_total_listings_count,host_multi_listing,host_has_profile_pic,host_identity_verified,host_type,property_type,room_type,room_type_encoded,is_entire_home,person_capacity,bedrooms,capacity_per_bedroom,beds,amenity_count,minimum_nights,maximum_nights,instant_bookable,instant_bookable_int,price_eur,log_price,availability_30,availability_60,availability_90,availability_365,availability_pressure,number_of_reviews,number_of_reviews_ltm,review_velocity_l30d,reviews_per_month,reviews_2024,reviews_2025,review_growth_24_25,review_scores_rating,review_scores_rating_norm,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_score_composite,estimated_occupancy_l365d,estimated_revenue_l365d,at_risk_host,license,kaggle_median_dist_km,kaggle_median_metro_dist_km,kaggle_median_attraction_norm,kaggle_median_restaurant_norm,kaggle_median_lifestyle,kaggle_median_satisfaction,kaggle_median_cleanliness,weekend_premium_pct,amenities_raw,listing_sentiment_score,has_sentiment,has_occupancy,has_revenue,original_row_source,enrichment_source_paris_iab_2025,paris_iab_2025_overlap,source_vintage,number_of_reviews_l30d,number_of_reviews_ly,calculated_host_listings_count,availability_365_calendar,availability_30_calendar,availability_60_calendar,availability_90_calendar,estimated_occupancy_l365d_calendar_proxy,price_eur_estimated,price_source,revenue_source,host_risk_score,xgb_price_training_eligible,prophet_training_eligible,sentiment_city_comparable,predicted_price_eur,actual_price_eur,underpricing_gap_eur,is_underpriced
49489,athens,inside_airbnb,Ermou 44 - 3bdr apt in the heart of Athens,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,,37.9767,23.73064,0.3882774207842385,centre_0_1km,3,225612,2010-09-06,5499.0,False,0,within a few hours,1.0,1.0,3.0,1.0,1,True,professional,Entire rental unit,Entire home/apt,2,1.0,7,3.0,2.333333333333333,4,32.0,2,365,True,1.0,160.0,5.081404364984463,14.0,39.0,65.0,72.0,293.0,142.0,2.0,0.0,0.83,4.0,2.0,-0.5,4.68,0.936,4.77,4.69,4.84,4.87,4.89,4.69,9.5514,12.0,1920.0,1.0,00000876484,0.6890772850176174,0.3926055161832819,9.78871018474059,14.38145457028584,11.200544925993622,97.0,10.0,2.812330989724168,"[""Hangers"", ""Dedicated workspace"", ""Kitchen"", ""Oven"", ""Refrigerator"", ""Bed linens"", ""High chair"", ""Dishwasher"", ""Stove"", ""Hair dryer"", ""Cooking basics"", ""Essentials"", ""Shampoo"", ""Extra pillows and blankets"", ""Iron"", ""Dishes and silverware"", ""Coffee maker"", ""Patio or balcony"", ""Hot water"", ""Elevator"", ""Microwave"", ""TV"", ""Children\u2019s books and toys"", ""Air conditioning"", ""Fire extinguisher"", ""Paid parking off premises"", ""Wifi"", ""Washer"", ""Heating"", ""Lockbox"", ""Crib"", ""Self check-in""]",0.6944049999999999,1,1,1,inside_airbnb,0,0,IAB_Athens_Sept2025,,,,,,,,,0,,,1.0,1,1,1,176.95,160.0,16.95,1
60394,athens,inside_airbnb,Cosy apartment! Great central Athens location!,ΣΤΑΔΙΟ,,37.96738,23.74038,1.026877446957276,near_1_3km,2,290864,2010-11-18,5426.0,True,1,,,1.0,1.0,0.0,1,True,casual,Entire condo,Entire home/apt,2,1.0,2,1.0,2.0,3,50.0,6,210,False,0.0,50.0,3.9318256327243257,0.0,24.0,54.0,54.0,311.0,37.0,5.0,0.0,0.29,5.0,2.0,-0.6,4.97,0.994,4.97,4.95,4.92,4.97,4.92,4.92,9.8914,60.0,3000.0,1.0,00000508830,1.7417335009687442,0.4302952314329889,4.270962339479569,6.546953598355973,5.4171495922396575,97.0,10.0,-0.7681564245810075,"[""Hangers"", ""Dedicated workspace"", ""Kitchen"", ""Park view"", ""Oven"", ""Wine glasses"", ""Refrigerator"", ""Bed linens"", ""Ceiling fan"", ""Dishwasher"", ""Room-darkening shades"", ""Hair dryer"", ""Hot water kettle"", ""Cooking basics"", ""Essentials"", ""Books and reading material"", ""Portable fans"", ""Long term stays allowed"", ""Shampoo"", ""Extra pillows and blankets"", ""? body soap"", ""Iron"", ""Dishes and silverware"", ""Coffee maker"", ""AC - split type ductless system"", ""Host greets you"", ""Hot water"", ""First aid kit"", ""Elevator"", ""Microwave"", ""Ethernet connection"", ""Drying rack for clothing"", ""Free street parking"", ""Electric stove"", ""Laundromat nearby"", ""Cleaning products"", ""Wifi"", ""Beach essentials"", ""Heating"", ""Freezer"", ""Toaster"", ""Free washer \u2013 In unit"", ""Single level home"", ""40 inch HDTV with standard cable"", ""Clothing storage: closet and dresser"", ""Dining table"", ""Baking sheet"", ""Blender"", ""Shower gel"", ""Private patio or balcony""]",0.711995,1,1,1,inside_airbnb,0,0,IAB_Athens_Sept2025,,,,,,,,,0,,,1.0,1,1,1,71.49,50.0,21.49,1
155654,athens,inside_airbnb,"Acropolis Cosy Apartment, Koukaki",ΑΚΡΟΠΟΛΗ,,37.96828,23.72906,0.9474646585696768,centre_0_1km,3,712602,2011-06-17,5215.0,False,0,within a few hours,1.0,,2.0,1.0,1,True,professional,Entire rental unit,Entire home/apt,2,1.0,3,1.0,3.0,1,24.0,2,365,False,0.0,57.0,4.060443010546419,0.0,0.0,0.0,0.0,365.0,65.0,0.0,0.0,0.47,0.0,0.0,0.0,4.77,0.954,4.83,4.83,4.72,4.78,4.95,4.71,9.5971,0.0,0.0,1.0,00000429243,0.6890772850176174,0.3926055161832819,9.78871018474059,14.38145457028584,11.200544925993622,97.0,10.0,2.812330989724168,"[""Hangers"", ""Kitchen"", ""Oven"", ""Refrigerator"", ""Stove"", ""Hair dryer"", ""Smoking allowed"", ""Cooking basics"", ""Essentials"", ""Shampoo"", ""Iron"", ""Dishes and silverware"", ""Coffee maker"", ""Dryer"", ""Host greets you"", ""Hot water"", ""Elevator"", ""TV"", ""Air conditioning"", ""Free street parking"", ""Wifi"", ""Washer"", ""Heating"", ""Crib""]",0.5869399999999999,1,1,1,inside_airbnb,0,0,IAB_Athens_Sept2025,,,,,,,,,0,,,1.0,1,0,1,73.76,57.0,16.76,1
361393,athens,inside_airbnb,Hermes Historical Center apt.,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,,37.97774,23.73,0.4889247586431819,centre_0_1km,3,1826598,2012-02-28,4959.0,False,0,within an hour,1.0,1.0,3.0,1.0,1,True,professional,Entire rental unit,Entire home/apt,2,1.0,8,2.0,4.0,4,44.0,2,1125,True,1.0,85.0,4.454347296253507,7.0,32.0,62.0,147.0,218.0,220.0,1.0,0.0,1.35,2.0,1.0,-0.5,4.69,0.938,4.74,4.79,4.84,4.85,4.75,4.7,9.5314,6.0,510.0,1.0,00002514973,0.6890772850176174,0.3926055161832819,9.78871018474059,14.38145457028584,11.200544925993622,97.0,10.0,2.812330989724168,"[""Hangers"", ""Kitchen"", ""Oven"", ""Wine glasses"", ""Refrigerator"", ""Bed linens"", ""High chair"", ""Pets allowed"", ""Smoke alarm"", ""Stove"", ""Hair dryer"", ""Hot water kettle"", ""Cooking basics"", ""Essentials"", ""Shampoo"", ""Extra pillows and blankets"", ""Iron"", ""Dishes and silverware"", ""Coffee maker"", ""Clothing storage"", ""Dryer"", ""Private entrance"", ""Hot water"", ""Elevator"", ""Microwave"", ""Drying rack for clothing"", ""TV"", ""Mosquito net"", ""Air conditioning"", ""Luggage dropoff allowed"", ""Fire extinguisher"", ""Cleaning products"", ""Wifi"", ""Washer"", ""Heating"", ""Freezer"", ""Lockbox"", ""Body soap"", ""Dining table"", ""Coffee"", ""Shower gel"", ""Carbon monoxide alarm"", ""Crib"", ""Self check-in""]",0.5360700000000002,1,1,1,inside_airbnb,0,0,IAB_Athens_Sept2025,,,,,,,,,0,,,1.0,1,1,1,135.08,85.0,50.08,1
401423,athens,inside_airbnb,Apartment with Leafy Backyard Steps from the Acropolis,ΑΚΡΟΠΟΛΗ,,37.96826,23.72777,1.0138244651134305,near_1_3km,2,745805,2011-06-26,5206.0,True,1,within an hour,1.0,0.99,1.0,0.0,1,True,casual,Entire rental unit,Entire home/apt,2,1.0,2,1.0,2.0,1,33.0,2,365,False,0.0,83.0,4.430816798843313,5.0,29.0,59.0,328.0,37.0,614.0,46.0,5.0,3.78,50.0,37.0,-0.26,4.92,0.984,4.93,4.87,4.96,4.99,4.97,4.88,9.8629,255.0,21165.0,0.0,00000492384,1.7417335009687442,0.4302952314329889,4.270962339479569,6.546953598355973,5.4171495922396575,97.0,10.0,-0.7681564245810075,"[""Hangers"", ""Kitchen"", ""Oven"", ""Refrigerator"", ""Children\u2019s dinnerware"", ""Bed linens"", ""Room-darkening shades"", ""Smoke alarm"", ""Stove"", ""Hair dryer"", ""Backyard"", ""Cooking basics"", ""Long term stays allowed"", ""Shampoo"", ""Extra pillows and blankets"", ""Iron"", ""Dishes and silverware"", ""Coffee maker"", ""Keypad"", ""Elevator"", ""Microwave"", ""Air conditioning"", ""Free street parking"", ""Wifi"", ""Washer"", ""TV with DVD player"", ""Heating"", ""Body soap"", ""Pack \u2019n play/Travel crib"", ""Window guards"", ""Carbon monoxide alarm"", ""Crib"", ""Self check-in""]",0.81373,1,1,1,inside_airbnb,0,0,IAB_Athens_Sept2025,,,,,,,,,0,,,0.0,1,1,1,103.81,83.0,20.81,1
484925,athens,inside_airbnb,In the shadow of Acropolis-Breathtaking view,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,,37.97291,23.72739,0.7104987663017625,centre_0_1km,3,2371962,2012-05-14,4883.0,True,1,within an hour,1.0,0.99,2.0,1.0,1,True,professional,Entire home,Entire home/apt,2,1.0,5,2.0,2.5,3,56.0,2,20,True,1.0,150.0,5.017279836814924,2.0,23.0,50.0,317.0,48.0,443.0,45.0,5.0,2.74,42.0,36.0,-0.1428571428571428,4.93,0.986,4.96,4.96,4.94,4.86,4.97,4.89,9.86,255.0,38250.0,0.0,00000223898,0.6890772850176174,0.3926055161832819,9.78871018474059,14.38145457028584,11.200544925993622,97.0,10.0,2.812330989724168,"[""Hangers"", ""Dedicated workspace"", ""Kitchen"", ""Oven"", ""Wine glasses"", ""Outdoor furniture"", ""Refrigerator"", ""Bed linens"", ""High chair"", ""Room-darkening shades"", ""Stove"", ""Hair dryer"", ""Hot water kettle"", ""Baby safety gates"", ""Essentials"", ""Books and reading material"", ""Portable fans"", ""Cooking basics"", ""Long term stays allowed"", ""Shampoo"", ""Extra pillows and blankets"", ""Baby monitor"", ""Iron"", ""Dishes and silverware"", ""Coffee maker"", ""Game console"", ""Private entrance"", ""Clothing storage: wardrobe and dresser"", ""Hot water"", ""Sound system"", ""Sun loungers"", ""Smart lock"", ""Microwave"", ""Drying rack for clothing"", ""TV"", ""Children\u2019s books and toys"", ""Outdoor playground"", ""Air conditioning"", ""Luggage dropoff allowed"", ""Fire extinguisher"", ""Paid parking off premises"", ""Cleaning products"", ""Wifi"", ""Outdoor dining area"", ""Heating"", ""Free washer \u2013 In unit"", ""Exterior security cameras on property"", ""Body soap"", ""Pack \u2019n play/Travel crib"", ""Baking sheet"", ""Window guards"", ""Dining table"", ""Shower gel"", ""Private patio or balcony"", ""Crib"", ""Self check-in""]",0.784365,1,1,1,inside_airbnb,0,0,IAB_Athens_Sept2025,,,,,,,,,0,,,0.0,1,1,1,199.05,150.0,49.05,1
485570,athens,inside_airbnb,Perfect  place for sightseeing,ΑΚΡΟΠΟΛΗ,,37.968,23.71314,2.0737234471856048,near_1_3km,2,10904418,2017-03-08,3124.0,False,0,,,,1.0,0.0,1,True,casual,Entire rental unit,Entire home/apt,2,1.0,2,1.0,2.0,2,40.0,6,365,False,0.0,41.0,3.737669618283368,1.0,26.0,56.0,145.0,220.0,36.0,6.0,0.0,0.23,10.0,6.0,-0.4,4.61,0.922,4.64,4.5,4.94,4.72,4.83,4.69,9.4086,72.0,2952.0,1.0,00002493458,1.7417335009687442,0.4302952314329889,4.270962339479569,6.546953598355973,5.4171495922396575,97.0,10.0,-0.7681564245810075,"[""Hangers"", ""Dedicated workspace"", ""Kitchen"", ""Oven"", ""Wine glasses"", ""Refrigerator"", ""Bed linens"", ""Room-darkening shades"", ""Pets allowed"", ""Stove"", ""Hot water kettle"", ""Cooking basics"", ""Essentials"", ""Books and reading material"", ""Long term stays allowed"", ""Shampoo"", ""Extra pillows and blankets"", ""Iron"", ""Dishes and silverware"", ""Coffee maker"", ""Clothing storage"", ""Private entrance"", ""Conditioner"", ""Hot water"", ""First aid kit"", ""Drying rack for clothing"", ""TV"", ""Air conditioning"", ""Luggage dropoff allowed"", ""Free street parking"", ""Cleaning products"", ""Wifi"", ""Washer"", ""Heating"", ""Toaster"", ""Lockbox"", ""Dining table"", ""Coffee"", ""Shower gel"", ""Self check-in""]",0.6089375,1,1,1,inside_airbnb,0,0,IAB_Athens_Sept2025,,,,,,,,,0,,,1.0,1,1,1,60.66,41.0,19.66,1
536123,athens,inside_airbnb,Acropolis Charming Apt with Large Balcony - DM17,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,,37.96648,23.7276,1.1850295366440398,near_1_3km,2,1418201,2011-11-17,5062.0,True,1,within an hour,1.0,1.0,28.0,1.0,1,True,professional,Entire rental unit,Entire home/apt,2,1.0,2,1.0,2.0,1,50.0,3,365,True,1.0,74.0,4.31748811353631,20.0,47.0,77.0,352.0,13.0,66.0,1.0,0.0,0.42,2.0,1.0,-0.5,4.65,0.93,4.79,4.88,4.85,4.91,4.89,4.65,9.6057,6.0,444.0,1.0,00003137435,1.7417335009687442,0.4302952314329889,4.270962339479569,6.546953598355973,5.4171495922396575,97.0,10.0,-0.7681564245810075,"[""Hangers"", ""Kitchen"", ""Oven"", ""Wine glasses"", ""Pack \u2019n play/Travel crib - available upon request"", ""Outdoor furniture"", ""Refrigerator"", ""Bed linens"", ""Heating - split type ductless system"", ""Room-darkening shades"", ""Smoke alarm"", ""Pets allowed"", ""Hair dryer"", ""Hot water kettle"", ""Cooking basics"", ""Essentials"", ""Long term stays allowed"", ""Shampoo"", ""Iron"", ""Dishes and silverware"", ""Coffee maker: french press"", ""AC - split type ductless system"", ""Clothing storage"", ""Babysitter recommendations"", ""Private entrance"", ""Host greets you"", ""Paid parking garage off premises"", ""Conditioner"", ""Hot water"", ""Elevator"", ""Ethernet connection"", ""Drying rack for clothing"", ""Free street parking"", ""Fire extinguisher"", ""Electric stove"", ""Laundromat nearby"", ""Cleaning products"", ""Outdoor dining area"", ""High chair - available upon request"", ""Freezer"", ""Toaster"", ""Free washer \u2013 In unit"", ""Wifi \u2013 10 Mbps"", ""Body soap"", ""Single level home"", ""City skyline view"", ""Dining table"", ""Coffee"", ""Private patio or balcony"", ""24 inch TV""]",0.554495,1,1,1,inside_airbnb,0,0,IAB_Athens_Sept2025,,,,,,,,,0,,,1.0,1,1,1,89.48,74.0,15.48,1
565235,athens,inside_airbnb,10min walk from ACROPOLIS !!!,ΠΕΤΡΑΛΩΝΑ,,37.969032287597656,23.7116756439209,2.1507884139900497,near_1_3km,2,2779638,2012-06-29,4837.0,True,1,,,1.0,1.0,0.0,1,True,casual,Entire rental unit,Entire home/apt,2,1.0,5,2.0,2.5,4,43.0,3,90,False,0.0,77.0,4.356708826689592,6.0,7.0,7.0,7.0,358.0,61.0,3.0,0.0,0.45,13.0,1.0,-0.9230769230769232,4.97,0.994,4.93,4.93,4.97,4.95,4.92,4.97,9.8971,18.0,1386.0,1.0,00000500411,1.7417335009687442,0.4302952314329889,4.270962339479569,6.546953598355973,5.4171495922396575,97.0,10.0,-0.7681564245810075,"[""Hangers"", ""Clothing storage: closet"", ""Dedicated workspace"", ""Kitchen"", ""Bathtub"", ""Bed linens"", ""Miele electric stove"", ""Dishwasher"", ""Hair dryer"", ""Hot water kettle"", ""Cooking basics"", ""Essentials"", ""Books and reading material"", ""Miele stainless steel oven"", ""Long term stays allowed"", ""Shampoo"", ""Extra pillows and blankets"", ""Iron"", ""Dishes and silverware"", ""Free parking on premises"", ""Host greets you"", ""Hot water"", ""Miele refrigerator"", ""Microwave"", ""Elevator"", ""Drying rack for clothing"", ""Mosquito net"", ""Coffee maker: drip coffee maker, espresso machine, Nespresso"", ""Air conditioning"", ""Free street parking"", ""Fire extinguisher"", ""Cleaning products"", ""Wifi"", ""Washer"", ""Indoor fireplace"", ""Heating"", ""Toaster"", ""Body soap"", ""Dining table"", ""Coffee"", ""50 inch HDTV""]",0.58307,1,1,1,inside_airbnb,0,0,IAB_Athens_Sept2025,,,,,,,,,0,,,1.0,1,1,1,93.22,77.0,16.22,1
571876,athens,inside_airbnb,"Vintage Apartment Athens, Plaka (Historic Center)",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,,37.97538,23.73264,0.1897982325772399,centre_0_1km,3,2814842,2012-07-03,4833.0,False,0,within a few hours,1.0,1.0,1.0,0.0,1,True,casual,Entire rental unit,Entire home/apt,2,1.0,3,1.0,3.0,2,43.0,3,1125,False,0.0,63.0,4.158883083359672,20.0,50.0,80.0,355.0,10.0,445.0,15.0,0.0,2.82,26.0,10.0,-0.6153846153846154,4.77,0.954,4.81,4.8,4.95,4.97,4.97,4.8,9.7343,90.0,5670.0,1.0,00000439557,0.6890772850176174,0.3926055161832819,9.78871018474059,14.38145457028584,11.200544925993622,97.0,10.0,2.812330989724168,"[""Hangers"", ""Dedicated workspace"", ""Kitchen"", ""Wine glasses"", ""Outdoor furniture"", ""Refrigerator"", ""Children\u2019s dinnerware"", ""Bed linens"", ""Hair dryer"", ""Hot water kettle"", ""Cooking basics"", ""Essentials"", ""Books and reading material"", ""Portable fans"", ""Long term stays allowed"", ""Shampoo"", ""Extra pillows and blankets"", ""Iron"", ""Dishes and silverware"", ""Coffee maker"", ""Portable heater"", ""Clothing storage: wardrobe and dresser"", ""Hot water"", ""First aid kit"", ""Elevator"", ""Karavak body soap"", ""Microwave"", ""Drying rack for clothing"", ""Children\u2019s books and toys"", ""Free street parking"", ""Fire extinguisher"", ""Paid parking off premises"", ""Laundromat nearby"", ""Cleaning products"", ""Wifi"", ""HITACHI sound system"", ""Central heating"", ""Toaster"", ""Lockbox"", ""Central air conditioning"", ""Coffee"", ""Shower gel"", ""Self check-in""]",0.51257,1,1,1,inside_airbnb,0,0,IAB_Athens_Sept2025,,,,,,,,,0,,,1.0,1,1,1,88.0,63.0,25.0,1
