ds,city,neighbourhood,forecast_month,model_level,is_scenario_proxy,yhat,yhat_lower,yhat_upper,monthly_baseline,annual_occupancy_baseline,review_growth_24_25_raw,review_growth_24_25_capped,seasonality_multiplier,momentum_multiplier,n_listings,training_start,training_end,methodology_note
2025-10-01,athens,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,2025-10,city_prophet_scaled_neighbourhood,True,5.9139,5.8611,5.9674,6.0,72.0,-0.375,-0.375,1.0,0.9944,35,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-11-01,athens,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,2025-11,city_prophet_scaled_neighbourhood,True,4.8165,4.7622,4.8638,6.0,72.0,-0.375,-0.375,0.8,0.9944,35,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-12-01,athens,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,2025-12,city_prophet_scaled_neighbourhood,True,4.7243,4.6714,4.7738,6.0,72.0,-0.375,-0.375,0.8,0.9944,35,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-01-01,athens,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,2026-01,city_prophet_scaled_neighbourhood,True,3.9131,3.861,3.9647,6.0,72.0,-0.375,-0.375,0.65,0.9944,35,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-02-01,athens,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,2026-02,city_prophet_scaled_neighbourhood,True,4.1364,4.0851,4.1858,6.0,72.0,-0.375,-0.375,0.7,0.9944,35,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-03-01,athens,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,2026-03,city_prophet_scaled_neighbourhood,True,5.1066,5.0556,5.1558,6.0,72.0,-0.375,-0.375,0.85,0.9944,35,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-04-01,athens,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,2026-04,city_prophet_scaled_neighbourhood,True,5.9205,5.8672,5.9723,6.0,72.0,-0.375,-0.375,1.0,0.9944,35,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-05-01,athens,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,2026-05,city_prophet_scaled_neighbourhood,True,6.8926,6.8437,6.9438,6.0,72.0,-0.375,-0.375,1.15,0.9944,35,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-06-01,athens,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,2026-06,city_prophet_scaled_neighbourhood,True,7.4148,7.3661,7.4686,6.0,72.0,-0.375,-0.375,1.25,0.9944,35,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-07-01,athens,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,2026-07,city_prophet_scaled_neighbourhood,True,8.085,8.0336,8.1387,6.0,72.0,-0.375,-0.375,1.35,0.9944,35,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-08-01,athens,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,2026-08,city_prophet_scaled_neighbourhood,True,7.7216,7.6713,7.7752,6.0,72.0,-0.375,-0.375,1.3,0.9944,35,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-09-01,athens,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,2026-09,city_prophet_scaled_neighbourhood,True,6.8971,6.8493,6.9489,6.0,72.0,-0.375,-0.375,1.15,0.9944,35,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-10-01,athens,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,2025-10,city_prophet_scaled_neighbourhood,True,5.6939,5.643,5.7454,5.75,69.0,-0.0667,-0.0667,1.0,0.999,22,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-11-01,athens,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,2025-11,city_prophet_scaled_neighbourhood,True,4.6373,4.585,4.6828,5.75,69.0,-0.0667,-0.0667,0.8,0.999,22,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-12-01,athens,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,2025-12,city_prophet_scaled_neighbourhood,True,4.5485,4.4976,4.5961,5.75,69.0,-0.0667,-0.0667,0.8,0.999,22,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-01-01,athens,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,2026-01,city_prophet_scaled_neighbourhood,True,3.7675,3.7174,3.8172,5.75,69.0,-0.0667,-0.0667,0.65,0.999,22,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
