ds,city,neighbourhood,forecast_month,model_level,is_scenario_proxy,yhat,yhat_lower,yhat_upper,monthly_baseline,annual_occupancy_baseline,review_growth_24_25_raw,review_growth_24_25_capped,seasonality_multiplier,momentum_multiplier,n_listings,training_start,training_end,methodology_note
2025-10-01,paris,Batignolles-Monceau,2025-10,city_prophet_scaled_neighbourhood,True,8.2783,8.2288,8.3312,7.8333,94.0,0.2222,0.2222,1.06,1.0033,2471,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-11-01,paris,Batignolles-Monceau,2025-11,city_prophet_scaled_neighbourhood,True,7.4333,7.3835,7.4822,7.8333,94.0,0.2222,0.2222,0.94,1.0033,2471,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-12-01,paris,Batignolles-Monceau,2025-12,city_prophet_scaled_neighbourhood,True,7.9679,7.9168,8.0131,7.8333,94.0,0.2222,0.2222,1.02,1.0033,2471,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-01-01,paris,Batignolles-Monceau,2026-01,city_prophet_scaled_neighbourhood,True,6.1622,6.1154,6.2124,7.8333,94.0,0.2222,0.2222,0.78,1.0033,2471,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-02-01,paris,Batignolles-Monceau,2026-02,city_prophet_scaled_neighbourhood,True,6.5649,6.5162,6.6106,7.8333,94.0,0.2222,0.2222,0.84,1.0033,2471,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-03-01,paris,Batignolles-Monceau,2026-03,city_prophet_scaled_neighbourhood,True,7.5005,7.4535,7.5508,7.8333,94.0,0.2222,0.2222,0.95,1.0033,2471,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-04-01,paris,Batignolles-Monceau,2026-04,city_prophet_scaled_neighbourhood,True,8.2102,8.1658,8.2581,7.8333,94.0,0.2222,0.2222,1.05,1.0033,2471,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-05-01,paris,Batignolles-Monceau,2026-05,city_prophet_scaled_neighbourhood,True,8.6787,8.6322,8.7272,7.8333,94.0,0.2222,0.2222,1.1,1.0033,2471,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-06-01,paris,Batignolles-Monceau,2026-06,city_prophet_scaled_neighbourhood,True,8.921,8.8727,8.9738,7.8333,94.0,0.2222,0.2222,1.14,1.0033,2471,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-07-01,paris,Batignolles-Monceau,2026-07,city_prophet_scaled_neighbourhood,True,8.5282,8.4805,8.577,7.8333,94.0,0.2222,0.2222,1.08,1.0033,2471,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-08-01,paris,Batignolles-Monceau,2026-08,city_prophet_scaled_neighbourhood,True,7.195,7.1441,7.2446,7.8333,94.0,0.2222,0.2222,0.92,1.0033,2471,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-09-01,paris,Batignolles-Monceau,2026-09,city_prophet_scaled_neighbourhood,True,8.827,8.7803,8.8758,7.8333,94.0,0.2222,0.2222,1.12,1.0033,2471,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-10-01,paris,Bourse,2025-10,city_prophet_scaled_neighbourhood,True,10.9719,10.9063,11.0419,10.4167,125.0,0.0,0.0,1.06,1.0,1951,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-11-01,paris,Bourse,2025-11,city_prophet_scaled_neighbourhood,True,9.8519,9.7859,9.9166,10.4167,125.0,0.0,0.0,0.94,1.0,1951,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-12-01,paris,Bourse,2025-12,city_prophet_scaled_neighbourhood,True,10.5604,10.4927,10.6203,10.4167,125.0,0.0,0.0,1.02,1.0,1951,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-01-01,paris,Bourse,2026-01,city_prophet_scaled_neighbourhood,True,8.1671,8.1052,8.2337,10.4167,125.0,0.0,0.0,0.78,1.0,1951,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-02-01,paris,Bourse,2026-02,city_prophet_scaled_neighbourhood,True,8.7009,8.6363,8.7614,10.4167,125.0,0.0,0.0,0.84,1.0,1951,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-03-01,paris,Bourse,2026-03,city_prophet_scaled_neighbourhood,True,9.941,9.8787,10.0077,10.4167,125.0,0.0,0.0,0.95,1.0,1951,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-04-01,paris,Bourse,2026-04,city_prophet_scaled_neighbourhood,True,10.8815,10.8227,10.9451,10.4167,125.0,0.0,0.0,1.05,1.0,1951,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-05-01,paris,Bourse,2026-05,city_prophet_scaled_neighbourhood,True,11.5024,11.4409,11.5668,10.4167,125.0,0.0,0.0,1.1,1.0,1951,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-06-01,paris,Bourse,2026-06,city_prophet_scaled_neighbourhood,True,11.8236,11.7597,11.8936,10.4167,125.0,0.0,0.0,1.14,1.0,1951,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-07-01,paris,Bourse,2026-07,city_prophet_scaled_neighbourhood,True,11.303,11.2398,11.3677,10.4167,125.0,0.0,0.0,1.08,1.0,1951,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-08-01,paris,Bourse,2026-08,city_prophet_scaled_neighbourhood,True,9.5361,9.4685,9.6018,10.4167,125.0,0.0,0.0,0.92,1.0,1951,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-09-01,paris,Bourse,2026-09,city_prophet_scaled_neighbourhood,True,11.6991,11.6371,11.7638,10.4167,125.0,0.0,0.0,1.12,1.0,1951,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-10-01,paris,Buttes-Chaumont,2025-10,city_prophet_scaled_neighbourhood,True,6.4229,6.3845,6.4639,6.0833,73.0,0.1591,0.1591,1.06,1.0024,2098,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-11-01,paris,Buttes-Chaumont,2025-11,city_prophet_scaled_neighbourhood,True,5.7672,5.7286,5.8051,6.0833,73.0,0.1591,0.1591,0.94,1.0024,2098,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2025-12-01,paris,Buttes-Chaumont,2025-12,city_prophet_scaled_neighbourhood,True,6.182,6.1424,6.2171,6.0833,73.0,0.1591,0.1591,1.02,1.0024,2098,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-01-01,paris,Buttes-Chaumont,2026-01,city_prophet_scaled_neighbourhood,True,4.781,4.7447,4.82,6.0833,73.0,0.1591,0.1591,0.78,1.0024,2098,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-02-01,paris,Buttes-Chaumont,2026-02,city_prophet_scaled_neighbourhood,True,5.0934,5.0556,5.1289,6.0833,73.0,0.1591,0.1591,0.84,1.0024,2098,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-03-01,paris,Buttes-Chaumont,2026-03,city_prophet_scaled_neighbourhood,True,5.8194,5.7829,5.8584,6.0833,73.0,0.1591,0.1591,0.95,1.0024,2098,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-04-01,paris,Buttes-Chaumont,2026-04,city_prophet_scaled_neighbourhood,True,6.37,6.3355,6.4072,6.0833,73.0,0.1591,0.1591,1.05,1.0024,2098,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-05-01,paris,Buttes-Chaumont,2026-05,city_prophet_scaled_neighbourhood,True,6.7335,6.6974,6.7711,6.0833,73.0,0.1591,0.1591,1.1,1.0024,2098,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-06-01,paris,Buttes-Chaumont,2026-06,city_prophet_scaled_neighbourhood,True,6.9214,6.884,6.9624,6.0833,73.0,0.1591,0.1591,1.14,1.0024,2098,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-07-01,paris,Buttes-Chaumont,2026-07,city_prophet_scaled_neighbourhood,True,6.6167,6.5797,6.6546,6.0833,73.0,0.1591,0.1591,1.08,1.0024,2098,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
2026-08-01,paris,Buttes-Chaumont,2026-08,city_prophet_scaled_neighbourhood,True,5.5824,5.5428,5.6208,6.0833,73.0,0.1591,0.1591,0.92,1.0024,2098,2021-01-01,2025-09-01,"Scenario-based Prophet demand proxy built from annual occupancy estimates, assumed STR seasonality, and capped review-growth momentum. Not trained on observed booking/calendar time series."
