neighbourhood,city,n_listings,median_price_eur,mean_price_eur,mean_log_price,mean_review_rating,mean_composite,mean_cleanliness,pct_entire_home,pct_superhost,pct_multi_listing,pct_at_risk,mean_availability_365,mean_occupancy,mean_revenue_eur,mean_dist_km,mean_sentiment,pct_has_revenue,pct_has_sentiment,dist_zone,listing_share,supply_demand_imbalance,competitive_saturation_score,opportunity_score,price_confidence,price_confidence_note
Batignolles-Monceau,paris,8271,80.0,88.21158263813324,4.398802571990981,0.942162253657357,9.539842038447588,7.38618006248225,0.8842945230322815,0.1485914641518559,0.3960826985854189,,133.5305610324431,51.1948377845492,4023.6139989245385,4.6915443576583,0.6865720782703041,0.6745254503687583,0.3269254020070125,mid_3_5km,0.0684634422932066,7.4777,0.2971,0.296,mixed,48% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Bourse,paris,4214,80.0,102.8560749881348,4.531293848453021,0.9331338395823446,9.487865068818223,7.092607680332122,0.9150450878025628,0.2202183198860939,0.5897009966777409,,164.69996555287634,92.60626937650706,7466.733895969686,1.5106195040104624,0.6557526159003224,0.6888941623160892,0.4067394399620313,near_1_3km,0.0348815071724788,26.5488,0.4419,0.6926,mixed,50% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Buttes-Chaumont,paris,6738,80.0,74.76536064113981,4.253872793962004,0.9438753339269812,9.52569339566637,7.359256046705588,0.8569308400118729,0.1154645295339863,0.3103294746215494,,105.74233952135988,45.93737418921941,3441.1936926862,3.993082120686561,0.6976480644418533,0.6635500148411991,0.3435737607598694,mid_3_5km,0.0557739903484011,8.2363,0.2324,0.26,mixed,46% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Buttes-Montmartre,paris,13121,80.0,79.73679597591646,4.321118211109747,0.9443290907705204,9.528028465818153,7.388887660515349,0.9064857861443488,0.1457206005639814,0.3091989939791174,,107.2834156993449,54.29134582231927,4205.306803815653,3.961544583389519,0.6859199915930924,0.6631354317506287,0.3466961359652465,mid_3_5km,0.1086094579046263,4.9988,0.2438,0.2899,mixed,46% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Elysee,paris,1650,120.0,159.47272727272727,4.857906098913547,0.9275090909090908,9.48216793939394,9.116969696969695,0.8042424242424242,0.1321212121212121,0.4739393939393939,,119.9624183006536,41.38398692810458,3153.766339869281,3.6268943784173446,,0.3709090909090909,0.0,mid_3_5km,0.0136579228368747,30.3004,0.3372,0.4108,observed,0% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Enclos-St-Laurent,paris,4557,80.0,94.73206056616196,4.414441568471014,0.9382861531709455,9.540015536537195,9.17906517445688,0.8630678077682686,0.1283739302172482,0.2530173359666447,,72.09925841414717,45.59783228750713,3515.090131203651,2.6085472028041066,,0.3846829054202326,0.0,near_1_3km,0.0377206996167504,12.0883,0.2032,0.2952,observed,0% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Entrepôt,paris,3828,80.0,78.28683385579937,4.364354688854775,0.9499049111807732,9.52910564263323,4.689534809111326,0.89576802507837,0.2283176593521421,0.5415360501567398,,132.04649947753396,76.02115987460814,5937.188087774294,2.173605112298434,0.6877837632646056,1.0,0.7996342737722049,near_1_3km,0.0316863809815493,23.9917,0.4162,0.5624,estimated,100% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Gobelins,paris,4068,80.0,79.96116027531957,4.309505592986059,0.9391843657817108,9.52190796460177,7.3826568466994,0.8242379547689282,0.1541297935103245,0.3485742379547689,,111.4534138061109,58.326291965296114,4429.7099207846095,2.9418805586534216,0.6689077548000388,0.6516715830875123,0.3411996066863323,mid_3_5km,0.0336729879396402,17.3214,0.2708,0.4019,mixed,45% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Hotel-de-Ville,paris,1944,108.0,134.25462962962962,4.743287546094855,0.9373713991769548,9.572648868312758,9.232510288065845,0.9068930041152264,0.184156378600823,0.4140946502057613,,114.16580976863752,64.91259640102828,5069.571979434448,0.787268996013838,,0.4002057613168724,0.0,centre_0_1km,0.016091516360536,40.3396,0.3221,0.627,observed,0% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Hôtel-de-Ville,paris,1758,80.0,79.47753128555176,4.379691402005202,0.9467792946530148,9.533341979522184,4.682470258922323,0.9277588168373152,0.2662116040955631,0.679749715585893,,152.62116040955632,91.24800910125144,7213.149032992036,0.597630340022526,0.681954181060497,1.0,0.8037542662116041,centre_0_1km,0.0145518959680156,50.0,0.5143,0.8567,estimated,100% of listings have estimated prices (IAB25 neighbourhood-median-derived)
